UTILITY CHARATERISTICS,,,,,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count
2021,1,0,Adjustment 2021,AK,,Preliminary,11204,46884,30946
2021,1,0,Adjustment 2021,AL,,Preliminary,175605,1706316,843165
2021,1,0,Adjustment 2021,AR,,Preliminary,79116,918161,445681
2021,1,0,Adjustment 2021,AZ,,Preliminary,34685,351855,101071
2021,1,0,Adjustment 2021,CA,,Preliminary,1225317,7025251,4760161
2021,1,0,Adjustment 2021,CO,,Preliminary,96602,872412,474814
2021,1,0,Adjustment 2021,CT,,Preliminary,206624,1193076,351581
2021,1,0,Adjustment 2021,DC,,Preliminary,66742,577494,49746
2021,1,0,Adjustment 2021,DE,,Preliminary,34352,407675,72511
2021,1,0,Adjustment 2021,FL,,Preliminary,414957,4005381,2217996
2021,1,0,Adjustment 2021,GA,,Preliminary,404774,3962940,2023422
2021,1,0,Adjustment 2021,HI,,Preliminary,742,3199,-14600
2021,1,0,Adjustment 2021,IA,,Preliminary,107530,1121745,458679
2021,1,0,Adjustment 2021,ID,,Preliminary,13232,161049,79784
2021,1,0,Adjustment 2021,IL,,Preliminary,749746,8248382,2470051
2021,1,0,Adjustment 2021,IN,,Preliminary,200481,2025918,818425
2021,1,0,Adjustment 2021,KS,,Preliminary,89742,880337,429062
2021,1,0,Adjustment 2021,KY,,Preliminary,166124,1813503,796769
2021,1,0,Adjustment 2021,LA,,Preliminary,119565,1441597,603396
2021,1,0,Adjustment 2021,MA,,Preliminary,580222,3307395,1796641
2021,1,0,Adjustment 2021,MD,,Preliminary,268092,2627715,564995
2021,1,0,Adjustment 2021,ME,,Preliminary,50430,433505,104122
2021,1,0,Adjustment 2021,MI,,Preliminary,133690,1407143,510938
2021,1,0,Adjustment 2021,MN,,Preliminary,179238,1676166,834908
2021,1,0,Adjustment 2021,MO,,Preliminary,186695,1909877,927196
2021,1,0,Adjustment 2021,MS,,Preliminary,132543,1287759,619736
2021,1,0,Adjustment 2021,MT,,Preliminary,31090,458495,109421
2021,1,0,Adjustment 2021,NC,,Preliminary,278939,2626883,1432093
2021,1,0,Adjustment 2021,ND,,Preliminary,17390,235438,55005
2021,1,0,Adjustment 2021,NE,,Preliminary,63538,627799,284421
2021,1,0,Adjustment 2021,NH,,Preliminary,70626,445142,131415
2021,1,0,Adjustment 2021,NJ,,Preliminary,290774,2297995,472684
2021,1,0,Adjustment 2021,NM,,Preliminary,36409,327672,192228
2021,1,0,Adjustment 2021,NV,,Preliminary,22204,445245,-1970
2021,1,0,Adjustment 2021,NY,,Preliminary,721416,5981283,1388760
2021,1,0,Adjustment 2021,OH,,Preliminary,897735,10220811,3561258
2021,1,0,Adjustment 2021,OK,,Preliminary,120524,1294866,596901
2021,1,0,Adjustment 2021,OR,,Preliminary,91603,1346348,404288
2021,1,0,Adjustment 2021,PA,,Preliminary,706751,8241366,2013738
2021,1,0,Adjustment 2021,RI,,Preliminary,45504,268241,56728
2021,1,0,Adjustment 2021,SC,,Preliminary,175028,1525842,836325
2021,1,0,Adjustment 2021,SD,,Preliminary,25533,245067,102252
2021,1,0,Adjustment 2021,TN,,Preliminary,251018,2689830,1087924
2021,1,0,Adjustment 2021,TX,,Preliminary,2425936,29349213,11172118
2021,1,0,Adjustment 2021,UT,,Preliminary,21952,248895,164951
2021,1,0,Adjustment 2021,VA,,Preliminary,148041,1609715,540995
2021,1,0,Adjustment 2021,VT,,Preliminary,7216,46749,43784
2021,1,0,Adjustment 2021,WA,,Preliminary,149642,2319252,719518
2021,1,0,Adjustment 2021,WI,,Preliminary,108485,1054243,566958
2021,1,0,Adjustment 2021,WV,,Preliminary,1996,14513,10832
2021,1,0,Adjustment 2021,WY,,Preliminary,11241,99462,51590
2021,2,0,Adjustment 2021,AK,,Preliminary,11509,46896,30936
2021,2,0,Adjustment 2021,AL,,Preliminary,185538,1537711,819750
2021,2,0,Adjustment 2021,AR,,Preliminary,84574,827935,433280
2021,2,0,Adjustment 2021,AZ,,Preliminary,32649,328198,100435
2021,2,0,Adjustment 2021,CA,,Preliminary,1173647,6461656,4673248
2021,2,0,Adjustment 2021,CO,,Preliminary,91270,814442,473789
2021,2,0,Adjustment 2021,CT,,Preliminary,201582,1124298,330942
2021,2,0,Adjustment 2021,DC,,Preliminary,65130,520145,49488
2021,2,0,Adjustment 2021,DE,,Preliminary,34774,379209,72725
2021,2,0,Adjustment 2021,FL,,Preliminary,434970,3606868,2156206
2021,2,0,Adjustment 2021,GA,,Preliminary,426367,3570617,1967465
2021,2,0,Adjustment 2021,HI,,Preliminary,680,2842,-14662
2021,2,0,Adjustment 2021,IA,,Preliminary,111884,1119737,458968
2021,2,0,Adjustment 2021,ID,,Preliminary,13576,161561,79839
2021,2,0,Adjustment 2021,IL,,Preliminary,736873,7919624,2454715
2021,2,0,Adjustment 2021,IN,,Preliminary,201477,1945048,818511
2021,2,0,Adjustment 2021,KS,,Preliminary,97108,794763,416885
2021,2,0,Adjustment 2021,KY,,Preliminary,165504,1748712,796811
2021,2,0,Adjustment 2021,LA,,Preliminary,127449,1299997,586692
2021,2,0,Adjustment 2021,MA,,Preliminary,559712,3114965,1788518
2021,2,0,Adjustment 2021,MD,,Preliminary,257069,2471038,561612
2021,2,0,Adjustment 2021,ME,,Preliminary,48747,396145,96964
2021,2,0,Adjustment 2021,MI,,Preliminary,137450,1366372,511278
2021,2,0,Adjustment 2021,MN,,Preliminary,185514,1677238,835539
2021,2,0,Adjustment 2021,MO,,Preliminary,185306,1848627,927229
2021,2,0,Adjustment 2021,MS,,Preliminary,140713,1160728,602448
2021,2,0,Adjustment 2021,MT,,Preliminary,33340,463131,109488
2021,2,0,Adjustment 2021,NC,,Preliminary,293232,2366565,1392517
2021,2,0,Adjustment 2021,ND,,Preliminary,18342,233051,55030
2021,2,0,Adjustment 2021,NE,,Preliminary,66701,626381,284521
2021,2,0,Adjustment 2021,NH,,Preliminary,70728,420909,130415
2021,2,0,Adjustment 2021,NJ,,Preliminary,352736,2854898,466179
2021,2,0,Adjustment 2021,NM,,Preliminary,34533,308912,191834
2021,2,0,Adjustment 2021,NV,,Preliminary,22992,402186,-2239
2021,2,0,Adjustment 2021,NY,,Preliminary,728221,5877087,1383790
2021,2,0,Adjustment 2021,OH,,Preliminary,896069,9938414,3561459
2021,2,0,Adjustment 2021,OK,,Preliminary,128850,1168036,580268
2021,2,0,Adjustment 2021,OR,,Preliminary,95145,1322857,404505
2021,2,0,Adjustment 2021,PA,,Preliminary,670514,7697112,1991266
2021,2,0,Adjustment 2021,RI,,Preliminary,42532,251449,57205
2021,2,0,Adjustment 2021,SC,,Preliminary,184277,1374968,812938
2021,2,0,Adjustment 2021,SD,,Preliminary,26182,245969,102319
2021,2,0,Adjustment 2021,TN,,Preliminary,248763,2592635,1087775
2021,2,0,Adjustment 2021,TX,,Preliminary,3395150,23941934,10866202
2021,2,0,Adjustment 2021,UT,,Preliminary,20533,228703,164729
2021,2,0,Adjustment 2021,VA,,Preliminary,155534,1465490,526053
2021,2,0,Adjustment 2021,VT,,Preliminary,7177,45234,43727
2021,2,0,Adjustment 2021,WA,,Preliminary,155806,2301588,720012
2021,2,0,Adjustment 2021,WI,,Preliminary,112689,1052192,567401
2021,2,0,Adjustment 2021,WV,,Preliminary,1946,14142,10833
2021,2,0,Adjustment 2021,WY,,Preliminary,11873,98882,51607
2021,3,0,Adjustment 2021,AK,,Preliminary,11483,46561,31245
2021,3,0,Adjustment 2021,AL,,Preliminary,166638,1504991,856585
2021,3,0,Adjustment 2021,AR,,Preliminary,75573,814662,452972
2021,3,0,Adjustment 2021,AZ,,Preliminary,33103,338156,100155
2021,3,0,Adjustment 2021,CA,,Preliminary,1312858,7244364,5249891
2021,3,0,Adjustment 2021,CO,,Preliminary,92102,835241,474384
2021,3,0,Adjustment 2021,CT,,Preliminary,190581,1067066,331185
2021,3,0,Adjustment 2021,DC,,Preliminary,62542,516068,50469
2021,3,0,Adjustment 2021,DE,,Preliminary,32865,372089,73278
2021,3,0,Adjustment 2021,FL,,Preliminary,391398,3511518,2253318
2021,3,0,Adjustment 2021,GA,,Preliminary,381445,3470165,2056358
2021,3,0,Adjustment 2021,HI,,Preliminary,677,2877,-14820
2021,3,0,Adjustment 2021,IA,,Preliminary,109319,1104837,463431
2021,3,0,Adjustment 2021,ID,,Preliminary,13307,156878,80614
2021,3,0,Adjustment 2021,IL,,Preliminary,715819,7612305,2440889
2021,3,0,Adjustment 2021,IN,,Preliminary,185382,1835399,821538
2021,3,0,Adjustment 2021,KS,,Preliminary,87642,802835,435799
2021,3,0,Adjustment 2021,KY,,Preliminary,152842,1625232,799818
2021,3,0,Adjustment 2021,LA,,Preliminary,113809,1277542,613188
2021,3,0,Adjustment 2021,MA,,Preliminary,571296,3162517,2018863
2021,3,0,Adjustment 2021,MD,,Preliminary,242862,2340165,560253
2021,3,0,Adjustment 2021,ME,,Preliminary,52136,445472,101621
2021,3,0,Adjustment 2021,MI,,Preliminary,140483,1467451,516322
2021,3,0,Adjustment 2021,MN,,Preliminary,181532,1641932,843584
2021,3,0,Adjustment 2021,MO,,Preliminary,170225,1692028,930706
2021,3,0,Adjustment 2021,MS,,Preliminary,126583,1140579,629637
2021,3,0,Adjustment 2021,MT,,Preliminary,30992,434990,110539
2021,3,0,Adjustment 2021,NC,,Preliminary,262821,2305582,1455229
2021,3,0,Adjustment 2021,ND,,Preliminary,17925,235405,55570
2021,3,0,Adjustment 2021,NE,,Preliminary,65084,619831,287333
2021,3,0,Adjustment 2021,NH,,Preliminary,69269,427205,128958
2021,3,0,Adjustment 2021,NJ,,Preliminary,332395,2620656,497376
2021,3,0,Adjustment 2021,NM,,Preliminary,34900,316838,192093
2021,3,0,Adjustment 2021,NV,,Preliminary,21749,450305,-2383
2021,3,0,Adjustment 2021,NY,,Preliminary,689643,5522479,1388247
2021,3,0,Adjustment 2021,OH,,Preliminary,858080,9567214,3562046
2021,3,0,Adjustment 2021,OK,,Preliminary,115537,1157375,606373
2021,3,0,Adjustment 2021,OR,,Preliminary,93444,1325915,408477
2021,3,0,Adjustment 2021,PA,,Preliminary,650219,7719315,1998678
2021,3,0,Adjustment 2021,RI,,Preliminary,44944,269407,54270
2021,3,0,Adjustment 2021,SC,,Preliminary,164210,1335182,849847
2021,3,0,Adjustment 2021,SD,,Preliminary,25803,239450,103309
2021,3,0,Adjustment 2021,TN,,Preliminary,233368,2424777,1092050
2021,3,0,Adjustment 2021,TX,,Preliminary,2659447,24871623,11262925
2021,3,0,Adjustment 2021,UT,,Preliminary,20833,235467,164934
2021,3,0,Adjustment 2021,VA,,Preliminary,145508,1507467,549758
2021,3,0,Adjustment 2021,VT,,Preliminary,6645,41589,43858
2021,3,0,Adjustment 2021,WA,,Preliminary,151780,2284251,726990
2021,3,0,Adjustment 2021,WI,,Preliminary,110202,1038772,572860
2021,3,0,Adjustment 2021,WV,,Preliminary,1816,12725,10873
2021,3,0,Adjustment 2021,WY,,Preliminary,11546,98691,52120
2021,1,84,A & N Electric Coop,MD,Cooperative,Preliminary,40,367,312
2021,1,84,A & N Electric Coop,VA,Cooperative,Preliminary,8116,81028,36166
2021,2,84,A & N Electric Coop,MD,Cooperative,Preliminary,32,288,312
2021,2,84,A & N Electric Coop,VA,Cooperative,Preliminary,6690,66529,36202
2021,3,84,A & N Electric Coop,MD,Cooperative,Preliminary,20,172,312
2021,3,84,A & N Electric Coop,VA,Cooperative,Preliminary,5473,56291,36238
2021,1,176,Ajo Improvement Co,AZ,Investor Owned,Preliminary,57,569,1034
2021,2,176,Ajo Improvement Co,AZ,Investor Owned,Preliminary,50,497,1028
2021,3,176,Ajo Improvement Co,AZ,Investor Owned,Preliminary,44,426,1027
2021,1,195,Alabama Power Co,AL,Investor Owned,Preliminary,478864,4515449,1505754
2021,2,195,Alabama Power Co,AL,Investor Owned,Preliminary,454239,4175981,1498630
2021,3,195,Alabama Power Co,AL,Investor Owned,Preliminary,418572,3909518,1500802
2021,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Preliminary,4322,36887,17455
2021,2,213,Alaska Electric Light&Power Co,AK,Investor Owned,Preliminary,4523,38408,17466
2021,3,213,Alaska Electric Light&Power Co,AK,Investor Owned,Preliminary,4529,39323,17477
2021,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Preliminary,1730,6169,8151
2021,2,219,Alaska Power and Telephone Co,AK,Investor Owned,Preliminary,1952,6704,8108
2021,3,219,Alaska Power and Telephone Co,AK,Investor Owned,Preliminary,1726,5785,8129
2021,1,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Preliminary,4424,11022,11513
2021,2,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Preliminary,4745,11910,11523
2021,3,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Preliminary,4609,11654,11534
2021,1,261,AGC Division of APG Inc,IN,Investor Owned,Preliminary,10143,357407,1
2021,2,261,AGC Division of APG Inc,IN,Investor Owned,Preliminary,16844,320436,1
2021,3,261,AGC Division of APG Inc,IN,Investor Owned,Preliminary,10040,339234,1
2021,1,392,Alpena Power Co,MI,Investor Owned,Preliminary,2970,31592,16568
2021,2,392,Alpena Power Co,MI,Investor Owned,Preliminary,2900,27345,16570
2021,3,392,Alpena Power Co,MI,Investor Owned,Preliminary,2856,30100,16573
2021,1,471,Amana Society Service Co,IA,Investor Owned,Preliminary,615,7045,888
2021,2,471,Amana Society Service Co,IA,Investor Owned,Preliminary,894,7431,889
2021,3,471,Amana Society Service Co,IA,Investor Owned,Preliminary,573,6250,889
2021,1,689,Connexus Energy,MN,Cooperative,Preliminary,20812,171934,138620
2021,2,689,Connexus Energy,MN,Cooperative,Preliminary,19821,165292,138791
2021,3,689,Connexus Energy,MN,Cooperative,Preliminary,18743,151199,138933
2021,1,727,Appalachian Electric Coop,TN,Cooperative,Preliminary,10500,100423,48070
2021,2,727,Appalachian Electric Coop,TN,Cooperative,Preliminary,10484,100718,48135
2021,3,727,Appalachian Electric Coop,TN,Cooperative,Preliminary,8306,77690,48229
2021,1,733,Appalachian Power Co,VA,Investor Owned,Preliminary,128379,1474636,539950
2021,1,733,Appalachian Power Co,WV,Investor Owned,Preliminary,119861,1235937,424481
2021,2,733,Appalachian Power Co,VA,Investor Owned,Preliminary,121477,1381066,540162
2021,2,733,Appalachian Power Co,WV,Investor Owned,Preliminary,112241,1089525,419137
2021,3,733,Appalachian Power Co,VA,Investor Owned,Preliminary,100525,1151763,541007
2021,3,733,Appalachian Power Co,WV,Investor Owned,Preliminary,111468,1006325,430059
2021,1,803,Arizona Public Service Co,AZ,Investor Owned,Preliminary,234978,2091769,1308806
2021,2,803,Arizona Public Service Co,AZ,Investor Owned,Preliminary,198691,1775407,1310171
2021,3,803,Arizona Public Service Co,AZ,Investor Owned,Preliminary,221952,1871691,1310518
2021,1,814,Entergy Arkansas LLC,AR,Investor Owned,Preliminary,156009,1980775,718285
2021,1,814,Entergy Arkansas LLC,TN,Investor Owned,Preliminary,1,7,7
2021,2,814,Entergy Arkansas LLC,AR,Investor Owned,Preliminary,144159,1907866,680683
2021,2,814,Entergy Arkansas LLC,TN,Investor Owned,Preliminary,1,8,7
2021,3,814,Entergy Arkansas LLC,AR,Investor Owned,Preliminary,151096,1808759,760531
2021,3,814,Entergy Arkansas LLC,TN,Investor Owned,Preliminary,1,8,7
2021,1,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,Preliminary,10089,109016,56359
2021,1,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,Preliminary,882,8550,4694
2021,2,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,Preliminary,11062,113970,56392
2021,2,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,Preliminary,849,9033,4713
2021,3,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,Preliminary,9163,81096,56461
2021,3,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,Preliminary,724,6090,4712
2021,1,963,Atlantic City Electric Co,NJ,Investor Owned,Preliminary,76548,435071,495121
2021,2,963,Atlantic City Electric Co,NJ,Investor Owned,Preliminary,57043,337509,495511
2021,3,963,Atlantic City Electric Co,NJ,Investor Owned,Preliminary,60718,343574,490992
2021,1,1167,Baltimore Gas & Electric Co,MD,Investor Owned,Preliminary,154667,1275677,997363
2021,2,1167,Baltimore Gas & Electric Co,MD,Investor Owned,Preliminary,139710,1189988,999800
2021,3,1167,Baltimore Gas & Electric Co,MD,Investor Owned,Preliminary,119961,984017,1001293
2021,1,1179,Versant Power,ME,Investor Owned,Preliminary,17472,108649,148423
2021,2,1179,Versant Power,ME,Investor Owned,Preliminary,16728,99489,148414
2021,3,1179,Versant Power,ME,Investor Owned,Preliminary,16988,100789,148523
2021,1,1613,Berkeley Electric Coop Inc,SC,Cooperative,Preliminary,29827,328913,110294
2021,2,1613,Berkeley Electric Coop Inc,SC,Cooperative,Preliminary,29405,301624,110858
2021,3,1613,Berkeley Electric Coop Inc,SC,Cooperative,Preliminary,26829,304030,111552
2021,1,1738,Bonneville Power Administration,OR,Federal,Preliminary,25,636,1
2021,1,1738,Bonneville Power Administration,WA,Federal,Preliminary,4067,107015,10
2021,2,1738,Bonneville Power Administration,OR,Federal,Preliminary,23,589,1
